Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
PV	1238.031106	1036.334380
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1749.298078	503.580000
IND_COGEN_GAS	54.273269	60.682877
IND_BOILER_GAS	7.671029	1.988580
IND_BOILER_WOOD	3.100888	0.802575
IND_BOILER_WASTE	13.681297	3.541007
IND_HEATER_ELEC	119.209871	6.356705
DHN_HP_ELEC	39.549248	23.377397
DHN_GEOTHERMAL	103.963315	73.534206
DEC_HP_ELEC	286.951234	166.105493
DEC_THERMAL_HP_GAS	68.247068	29.854694
DEC_BOILER_GAS	17.142131	6.682632
THERMAL_SOLAR	526.532276	86.400000
H2_ELECTROLYSIS	18.868378	24.194439
H2_FROM_GAS	20.717874	33.291548
P2G_INVESTMENT	0.000000	0.000000

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
ELECTRICITY	456.000000
NG	1688.426151
WOOD	187.966102
WASTE	0.000000
