Technology	GWP_construction [ktCO2-eq/y]
CCGT	6.179005
PV	1478.954277
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	208.395000
IND_COGEN_GAS	90.192105
IND_BOILER_GAS	1.736543
IND_BOILER_WASTE	1.969272
IND_HEATER_ELEC	0.232524
DHN_HP_ELEC	4.223528
DHN_BOILER_GAS	0.702503
DHN_GEOTHERMAL	46.771273
DEC_HP_ELEC	80.906510
DEC_THERMAL_HP_GAS	75.155547
DEC_BOILER_GAS	4.885116
DEC_BOILER_OIL	2.442558
THERMAL_SOLAR	28.647040
H2_ELECTROLYSIS	0.007554
H2_FROM_GAS	0.000000
P2G_INVESTMENT	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
GASOLINE	1888.614967
DIESEL	1693.527267
OIL	1797.231609
NG	18277.712499
WASTE	1671.300000
