Technology	Energy output [GWh/y]
PV	34622.500
WIND	14850.912
HYDRO_DAM	25381.428
HYDRO_RIVER	27973.440
IND_COGEN_GAS	3380.409
IND_BOILER_GAS	4570.893
IND_BOILER_WOOD	10585.345
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	6917.358
DHN_HP_ELEC	5628.501
DHN_BOILER_GAS	3752.334
DHN_GEOTHERMAL	9380.836
DEC_HP_ELEC	23858.344
DEC_THERMAL_HP_GAS	6996.610
DEC_BOILER_GAS	9543.338
DEC_BOILER_OIL	4771.669
THERMAL_SOLAR	2546.727
POWER_TO_GAS_EFF	4940.415
GAS_TO_POWER_EFF	3419.795
H2_ELECTROLYSIS	4375.415
H2_FROM_GAS	4351.506

Resource	Energy consumption [GWh/y]
GASOLINE	5396.043
DIESEL	5292.273
OIL	5630.569
NG	39413.475
WOOD	12279.000
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	7782.754
BUS_FC	15565.508
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
