source,target,realValue,layerID,layerColor,layerUnit
Natural gas import,Natural gas,29.22,Natural gas,#FFD700,TWh
Natural gas,Hydrogen,2.52,Natural gas,#FFD700,TWh
Natural gas,CHP,5.60,Natural gas,#FFD700,TWh
Natural gas,Heat pumps,4.94,Natural gas,#FFD700,TWh
Natural gas,Boilers,16.16,Natural gas,#FFD700,TWh
Electricity import,Electricity,5.00,Electricity,#00BFFF,TWh
Wind,Electricity,14.85,Wind,#FFA500,TWh
Hydro dam,Electricity,25.38,Hydro dam,#00CED1,TWh
Hydro river,Electricity,27.97,Hydro river,#0000FF,TWh
Solar,Electricity,31.94,Solar,#FFFF00,TWh
Solar,Heat LT dec,5.73,Solar,#FFFF00,TWh
Geothermal,DHN,5.98,Geothermal,#FF0000,TWh
Waste,Boilers,11.14,Waste,#808000,TWh
Electricity,Mobility private,11.41,Electricity,#00BFFF,TWh
Electricity,Mobility public,1.63,Electricity,#00BFFF,TWh
Electricity,Freight,1.43,Electricity,#00BFFF,TWh
Electricity,Losses electricity,7.53,Electricity,#00BFFF,TWh
Electricity,Electricity demand,65.29,Electricity,#00BFFF,TWh
Electricity,Heat pumps,4.70,Electricity,#00BFFF,TWh
Electricity,Hydrogen,2.23,Electricity,#00BFFF,TWh
Electricity,Heat HT,13.39,Electricity,#00BFFF,TWh
Hydrogen,Mobility public,1.79,Hydrogen,#FF00FF,TWh
Hydrogen,Freight,2.45,Hydrogen,#FF00FF,TWh
CHP,Electricity,2.48,Electricity,#00BFFF,TWh
CHP,Heat HT,2.58,Heat HT,#DC143C,TWh
Heat pumps,Heat LT dec,25.80,Heat LT,#FA8072,TWh
Heat pumps,DHN,5.98,Heat LT,#FA8072,TWh
Boilers,Heat LT dec,5.33,Heat LT,#FA8072,TWh
Boilers,Heat HT,18.62,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,18.36,Heat LT,#FA8072,TWh
DHN,Losses DHN,0.97,Heat LT,#FA8072,TWh
