Technology [GW]	1	2	3	4	5	6	7	8	9	10	11	12
CCGT_CCS	6.311959	6.311959	6.311959	4.552985	2.286634	0.038901	0.050513	0.644320	5.936312	5.795544	6.311959	6.311959
PV	0.391830	0.705294	0.940392	1.175490	1.175490	1.253856	1.253856	1.253856	1.018758	0.705294	0.391830	0.313464
WIND	2.368000	2.072000	2.072000	1.332000	1.258000	1.036000	1.110000	1.036000	1.184000	2.072000	2.294000	2.516000
HYDRO_DAM	3.095175	3.095175	2.352333	1.980912	2.599947	3.466596	3.342789	3.218982	3.590403	2.599947	2.599947	2.847561
HYDRO_RIVER	1.980000	1.716000	2.046000	2.904000	4.092000	5.082000	5.082000	4.686000	3.630000	2.442000	2.310000	2.244000
IND_BOILER_GAS	1.447232	1.447232	0.715696	1.364760	0.206365	0.206365	0.206365	0.789233	0.206365	1.447232	1.447232	1.447232
IND_BOILER_WOOD	1.342636	1.342636	1.342636	1.342636	1.342636	1.342636	1.342636	1.002658	1.342636	0.101769	1.342636	1.342636
IND_BOILER_WASTE	1.158395	1.158395	1.158395	0.000000	1.158395	1.158395	1.158395	0.915506	1.158395	1.158395	1.158395	1.158395
IND_HEATER_ELEC	0.000000	0.000000	0.731536	1.240867	1.240867	1.240867	1.240867	1.240867	1.240867	1.240867	0.000000	0.000000
DHN_HP_ELEC	1.438232	1.438232	1.438232	0.360541	0.492763	0.492763	0.492763	0.492763	0.283083	0.802802	1.438232	1.438232
DHN_BOILER_GAS	1.808979	1.757516	0.368006	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.502497	2.673563
DHN_GEOTHERMAL	2.721249	2.721249	2.721249	1.025625	0.000000	0.000000	0.000000	0.000000	0.805281	2.283713	2.721249	2.721249
DEC_HP_ELEC	6.386585	6.088755	3.652413	0.327473	0.000000	0.000000	0.000000	0.000000	0.000000	1.930658	4.226661	7.840252
DEC_BOILER_GAS	2.049171	2.031502	1.554437	0.475917	0.169182	0.169182	0.169182	0.169182	0.373672	1.059703	1.600613	2.346012
DEC_BOILER_OIL	1.024586	1.015751	0.777219	0.237959	0.084591	0.084591	0.084591	0.084591	0.186836	0.529852	0.800306	1.173006
THERMAL_SOLAR	0.431160	0.646740	0.862320	0.862320	0.787550	0.787550	0.787550	0.787550	0.934180	0.718600	0.503020	0.359300
DEC_HEATER_ELEC	0.617336	0.612013	0.468292	0.143375	0.050968	0.050968	0.050968	0.050968	0.112573	0.319248	0.482203	0.706763
H2_ELECTROLYSIS	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224	0.996224

Resource [GW]
GASOLINE	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987	0.615987
DIESEL	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141	0.604141
OIL	1.209011	1.198586	0.917118	0.280791	0.099817	0.099817	0.099817	0.099817	0.220466	0.625225	0.944361	1.384147
NG	5.948662	5.991513	3.008602	2.114987	0.523444	0.523444	0.523444	1.152942	0.750428	2.852060	3.995166	7.167311
NG_CCS	11.045928	11.045928	11.045928	7.967723	4.001610	0.068076	0.088398	1.127561	10.388546	10.142202	11.045928	11.045928
WOOD	1.557458	1.557458	1.557458	1.557458	1.557458	1.557458	1.557458	1.163083	1.557458	0.118052	1.557458	1.557458
WASTE	1.413242	1.413242	1.413242	0.000000	1.413242	1.413242	1.413242	1.116917	1.413242	1.413242	1.413242	1.413242

Mobility [Mpkm/h] or [Mtkm/h]
CAR_GASOLINE	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_DIESEL	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
CAR_PHEV	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295	0.592295
CAR_BEV	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
CAR_FC	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590	1.184590
BUS_NG	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442	0.888442
BUS_FC	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884	1.776884
TRAIN_PUBLIC	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096	6.219096
TRAIN_FREIGHT	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559
TRUCK_FREIGHT_FC	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039
