Technology	Energy output [GWh/y]
CCGT	800.970
PV	15976.030
WIND	14850.912
HYDRO_DAM	25381.428
HYDRO_RIVER	18236.559
IND_COGEN_GAS	11811.971
IND_BOILER_GAS	12935.168
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	706.866
DHN_HP_ELEC	5976.676
DHN_GEOTHERMAL	5976.676
DEC_HP_ELEC	18431.066
DEC_THERMAL_HP_GAS	7372.426
DEC_BOILER_GAS	8417.264
THERMAL_SOLAR	2641.375
H2_FROM_GAS	2448.832

Resource	Energy consumption [GWh/y]
ELECTRICITY	5000.000
NG	60484.954
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_BEV	103770.053
BUS_NG	7782.754
TRAIN_PUBLIC	18159.759
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
