Technology	GWP_construction [ktCO2-eq/y]
PV	3416.599594
WIND	230.454500
HYDRO_DAM	524.013179
HYDRO_RIVER	155.806475
IND_COGEN_GAS	15.154080
IND_BOILER_GAS	1.536352
IND_BOILER_WASTE	2.473293
IND_HEATER_ELEC	0.394826
DHN_HP_ELEC	6.792909
DHN_GEOTHERMAL	33.925370
DEC_HP_ELEC	67.631595
DEC_THERMAL_HP_GAS	56.387278
DEC_BOILER_GAS	4.109856
THERMAL_SOLAR	32.512807
H2_ELECTROLYSIS	0.010162
H2_FROM_GAS	0.000000
P2G_INVESTMENT	0.000000

Storage technology	GWP_construction [ktCO2-eq/y]
HYDRO_STORAGE	2.400000

Resource	GWP_op [ktCO2-eq/y]
ELECTRICITY	50.000000
NG	8330.636433
WASTE	1671.300000
