Technology	Installed capacity [GW]
PV	52.271469
WIND	7.400000
HYDRO_DAM	12.380701
HYDRO_RIVER	6.600000
GEOTHERMAL_ELEC	0.760000
IND_COGEN_WOOD	0.121600
IND_COGEN_WASTE	0.193200
IND_BOILER_GAS	0.121040
IND_BOILER_WOOD	1.881279
IND_BOILER_WASTE	2.066985
IND_HEATER_ELEC	3.862827
DHN_HP_ELEC	1.816177
DHN_COGEN_WOOD	0.121600
DHN_COGEN_WASTE	0.193200
DHN_BOILER_OIL	5.159932
DHN_GEOTHERMAL	2.571011
DEC_HP_ELEC	6.922221
DEC_THERMAL_HP_GAS	1.065519
THERMAL_SOLAR	10.000000
DEC_HEATER_ELEC	2.700080
P2G_INVESTMENT	0.176168
H2_ELECTROLYSIS	0.483889
H2_FROM_BIOMASS	0.483889
GASIFICATION_SNG	0.204424

Storage technology	Storage capacity [GWh]
HYDRO_STORAGE	2400.000000

Mobility	Passenger [Mpkm/h] or Freight [Mtkm/h]
CAR_BEV	11.845896
BUS_FC	0.888442
TRAIN_PUBLIC	2.073032
TRAIN_FREIGHT	2.329559
TRUCK_FREIGHT_FC	1.553039
