Technology	Energy output [GWh/y]
PV	48363.841
WIND	14104.992
HYDRO_DAM	25381.428
HYDRO_RIVER	27973.440
GEOTHERMAL_ELEC	2134.833
IND_BOILER_GAS	7951.302
IND_BOILER_WOOD	10585.345
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	6917.358
DHN_HP_ELEC	7366.657
DHN_BOILER_GAS	4911.105
DHN_GEOTHERMAL	12277.761
DEC_HP_ELEC	22409.881
DEC_THERMAL_HP_GAS	1202.759
DEC_BOILER_GAS	8963.952
DEC_BOILER_OIL	4481.976
THERMAL_SOLAR	7761.194
POWER_TO_GAS_EFF	11819.479
GAS_TO_POWER_EFF	2961.855
H2_ELECTROLYSIS	5592.632
H2_FROM_GAS	3134.288

Resource	Energy consumption [GWh/y]
GASOLINE	5396.043
DIESEL	5292.273
OIL	5288.732
NG	23348.280
WOOD	12279.000
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	7782.754
BUS_FC	15565.508
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
