Technology	Energy output [GWh/y]
CCGT	8706.875
PV	7728.141
WIND	14850.912
HYDRO_DAM	25381.428
HYDRO_RIVER	18236.559
IND_COGEN_GAS	4701.930
IND_BOILER_GAS	20752.075
IND_BOILER_WASTE	9132.787
DHN_HP_ELEC	3531.306
DHN_COGEN_GAS	1248.287
DHN_BOILER_GAS	3186.395
DHN_GEOTHERMAL	7965.987
DEC_HP_ELEC	3319.012
DEC_THERMAL_HP_GAS	9826.307
DEC_BOILER_GAS	29833.272
DEC_BOILER_OIL	4913.154
THERMAL_SOLAR	1239.792
H2_FROM_GAS	5146.854

Resource	Energy consumption [GWh/y]
GASOLINE	4462.112
DIESEL	5292.273
OIL	5797.521
NG	109293.698
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_NG	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	23348.262
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
