Technology	C_inv [MCHF/y]	C_maint [MCHF/y]
CCGT	35.470192	15.443670
PV	613.478159	513.531934
WIND	743.561476	169.460000
HYDRO_DAM	1905.444566	35.780227
HYDRO_RIVER	1749.298078	503.580000
IND_COGEN_GAS	213.742367	238.985085
IND_BOILER_GAS	9.298174	2.410389
IND_BOILER_WASTE	11.010126	2.849652
IND_HEATER_ELEC	69.825033	3.723325
DHN_HP_ELEC	13.080551	7.731860
DHN_BOILER_GAS	4.719249	1.223383
DHN_GEOTHERMAL	147.409166	104.263855
DEC_HP_ELEC	343.274813	198.709137
DEC_THERMAL_HP_GAS	90.962818	39.791704
DEC_BOILER_GAS	51.490701	20.072966
DEC_BOILER_OIL	23.129757	17.908235
THERMAL_SOLAR	136.379666	22.378881
H2_ELECTROLYSIS	6.455747	8.278040
H2_FROM_GAS	25.155755	40.422777
P2G_INVESTMENT	0.000000	0.000000

Storage technology	C_inv [MCHF/y]	C_maint [MCHF/y]
HYDRO_STORAGE	0.000000	0.000000

Resource	C_op [MCHF/y]
GASOLINE	474.851763
DIESEL	449.843180
OIL	458.004184
NG	2427.481856
WASTE	0.000000
