End use [GW]	1	2	3	4	5	6	7	8	9	10	11	12
ELECTRICITY	9.057071	8.798871	8.226551	7.726077	7.374202	6.926330	6.887323	6.855405	7.748198	8.511902	9.414131	9.589469	
HEAT_HIGH_T	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	3.948264	
HEAT_LOW_T_DHN	4.873321	4.832150	3.720542	1.207485	0.492763	0.492763	0.492763	0.492763	0.969245	2.567764	3.828135	5.564988	
HEAT_LOW_T_DECEN	10.802528	10.711266	8.247202	2.676593	1.092291	1.092291	1.092291	1.092291	2.148492	5.691877	8.485700	12.335723	

Mobility [Mpkm/h] or [Mtkm/h]
MOB_PUBLIC	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	8.884422	
MOB_PRIVATE	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	5.922948	
MOB_FREIGHT_RAIL	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	2.329559	
MOB_FREIGHT_ROAD	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	1.553039	
