Technology	Energy output [GWh/y]
CCGT	1679.826
PV	23065.033
WIND	14850.912
HYDRO_DAM	25381.428
HYDRO_RIVER	27973.440
IND_COGEN_GAS	8313.546
IND_BOILER_GAS	3056.721
IND_BOILER_WOOD	7166.380
IND_BOILER_WASTE	9132.787
IND_HEATER_ELEC	6917.358
DHN_HP_ELEC	4779.592
DHN_BOILER_GAS	3186.395
DHN_GEOTHERMAL	7965.987
DEC_HP_ELEC	22048.766
DEC_THERMAL_HP_GAS	9826.307
DEC_BOILER_GAS	9826.307
DEC_BOILER_OIL	4913.154
THERMAL_SOLAR	2517.002
H2_ELECTROLYSIS	3909.678
H2_FROM_GAS	4817.242

Resource	Energy consumption [GWh/y]
GASOLINE	5396.043
DIESEL	5292.273
OIL	5797.521
NG	53764.296
WOOD	8313.001
WASTE	11142.000

Mobility	Total transport [Mpkm/y] or [Mtkm/y]
CAR_GASOLINE	10377.005
CAR_DIESEL	10377.005
CAR_PHEV	5188.503
CAR_BEV	15565.508
CAR_FC	10377.005
BUS_NG	7782.754
BUS_FC	15565.508
TRAIN_PUBLIC	54479.278
TRAIN_FREIGHT	20406.935
TRUCK_FREIGHT_FC	13604.623
